Consecutivo,Date,Adj Close,diferencias,dobles dif
154,10/10/2019,19.5849,-0.0403,-0.0946
155,11/10/2019,19.4347,-0.1502,-0.1099
156,14/10/2019,19.3081,-0.1266,0.0236
157,15/10/2019,19.2694,-0.0387,0.0879
158,16/10/2019,19.2306,-0.0388,-0.0001
159,17/10/2019,19.194901,-0.035699,0.003101
160,18/10/2019,19.1798,-0.015101,0.020598
161,21/10/2019,19.117701,-0.062099,-0.046998
162,22/10/2019,19.121799,0.004098,0.066197
163,23/10/2019,19.140699,0.0189,0.014802
164,24/10/2019,19.101601,-0.039098,-0.057998
165,25/10/2019,19.117901,0.0163,0.055398
166,28/10/2019,19.039301,-0.0786,-0.0949
167,29/10/2019,19.110201,0.0709,0.1495
168,30/10/2019,19.107201,-0.003,-0.0739
169,31/10/2019,19.092899,-0.014302,-0.011302
170,01/11/2019,19.2388,0.145901,0.160203
171,04/11/2019,19.084999,-0.153801,-0.299702
172,05/11/2019,19.1679,0.082901,0.236702
173,06/11/2019,19.1868,0.0189,-0.064001
174,07/11/2019,19.1507,-0.0361,-0.055
175,08/11/2019,19.121599,-0.029101,0.006999
176,11/11/2019,19.109501,-0.012098,0.017003
177,12/11/2019,19.1115,0.001999,0.014097
178,13/11/2019,19.2987,0.1872,0.185201
179,14/11/2019,19.3652,0.0665,-0.1207
180,15/11/2019,19.3127,-0.0525,-0.119
181,18/11/2019,19.198799,-0.113901,-0.061401
182,19/11/2019,19.3172,0.118401,0.232302
183,20/11/2019,19.3585,0.0413,-0.077101
184,21/11/2019,19.4697,0.1112,0.0699
185,22/11/2019,19.3869,-0.0828,-0.194
186,25/11/2019,19.344999,-0.041901,0.040899
187,26/11/2019,19.4452,0.100201,0.142102
188,27/11/2019,19.507299,0.062099,-0.038102
189,28/11/2019,19.5546,0.047301,-0.014798
190,29/11/2019,19.4914,-0.0632,-0.110501
191,02/12/2019,19.5359,0.0445,0.1077
192,03/12/2019,19.573999,0.038099,-0.006401
193,04/12/2019,19.5495,-0.024499,-0.062598
194,05/12/2019,19.431101,-0.118399,-0.0939
195,06/12/2019,19.363001,-0.0681,0.050299
196,09/12/2019,19.2547,-0.108301,-0.040201
197,10/12/2019,19.23,-0.0247,0.083601
198,11/12/2019,19.249901,0.019901,0.044601
199,12/12/2019,19.101299,-0.148602,-0.168503
200,13/12/2019,18.982,-0.119299,0.029303
201,16/12/2019,19.034201,0.052201,0.1715
202,17/12/2019,18.936199,-0.098002,-0.150203
203,18/12/2019,18.9175,-0.018699,0.079303
204,19/12/2019,18.9755,0.058,0.076699
205,20/12/2019,18.909,-0.0665,-0.1245
206,23/12/2019,18.941299,0.032299,0.098799
207,24/12/2019,18.9345,-0.006799,-0.039098
208,25/12/2019,18.9627,0.0282,0.034999
209,26/12/2019,18.952101,-0.010599,-0.038799
210,27/12/2019,18.928499,-0.023602,-0.013003
211,30/12/2019,18.8279,-0.100599,-0.076997
212,31/12/2019,18.9177,0.0898,0.190399
213,01/01/2020,18.9174,-0.0003,-0.0901
214,02/01/2020,18.8988,-0.0186,-0.0183
215,03/01/2020,18.830299,-0.068501,-0.049901
216,06/01/2020,18.944799,0.1145,0.183001
217,07/01/2020,18.8414,-0.103399,-0.217899
218,08/01/2020,18.964199,0.122799,0.226198
219,09/01/2020,18.813999,-0.1502,-0.272999
220,10/01/2020,18.834801,0.020802,0.171002
221,13/01/2020,18.7976,-0.037201,-0.058003
222,14/01/2020,18.7901,-0.0075,0.029701
223,15/01/2020,18.7938,0.0037,0.0112
224,16/01/2020,18.7827,-0.0111,-0.0148
225,17/01/2020,18.763,-0.0197,-0.0086
226,20/01/2020,18.6563,-0.1067,-0.087
227,21/01/2020,18.6537,-0.0026,0.1041
228,22/01/2020,18.759399,0.105699,0.108299
229,23/01/2020,18.700399,-0.059,-0.164699
230,24/01/2020,18.749201,0.048802,0.107802
231,27/01/2020,18.862499,0.113298,0.064496
232,28/01/2020,18.892,0.029501,-0.083797
233,29/01/2020,18.7241,-0.1679,-0.197401
234,30/01/2020,18.6819,-0.0422,0.1257
235,31/01/2020,18.7808,0.0989,0.1411
236,03/02/2020,18.8664,0.0856,-0.0133
237,04/02/2020,18.8144,-0.052,-0.1376
238,05/02/2020,18.671301,-0.143099,-0.091099
239,06/02/2020,18.587601,-0.0837,0.059399
240,07/02/2020,18.6397,0.052099,0.135799
241,10/02/2020,18.8002,0.1605,0.108401
242,11/02/2020,18.7027,-0.0975,-0.258
243,12/02/2020,18.642,-0.0607,0.0368
244,13/02/2020,18.6404,-0.0016,0.0591
245,14/02/2020,18.5951,-0.0453,-0.0437
246,17/02/2020,18.542999,-0.052101,-0.006801
247,18/02/2020,18.549999,0.007,0.059101
248,19/02/2020,18.5889,0.038901,0.031901
249,20/02/2020,18.5501,-0.0388,-0.077701
250,21/02/2020,18.847401,0.297301,0.336101
251,24/02/2020,19.0077,0.160299,-0.137002
252,25/02/2020,19.0366,0.0289,-0.131399
253,26/02/2020,19.059999,0.023399,-0.005501
254,27/02/2020,19.2866,0.226601,0.203202
255,28/02/2020,19.459,0.1724,-0.054201
256,02/03/2020,19.823099,0.364099,0.191699
257,03/03/2020,19.405001,-0.418098,-0.782197
258,04/03/2020,19.431601,0.0266,0.444698
259,05/03/2020,19.5172,0.085599,0.058999
260,06/03/2020,19.814501,0.297301,0.211702
261,09/03/2020,21.057501,1.243,0.945699
262,10/03/2020,20.812201,-0.2453,-1.4883
